Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1991,4.616223404,5.770197348,36.9705559,295.443,5.978866342,59.17028656,4.344250257,11.00879318,4.451497288,11.34148245,6.883516484,131.336,12.98183333,150.028,51.55216562,5.93037037
1992,4.75106383,6.912150456,41.85598652,48.887,7.062004949,65.77121642,5.311329067,19.85855522,5.545921947,12.45227568,7.646153984,136.304,13.2535659,158.459,54.23917189,6.463649985
1993,5.200265957,6.590291048,46.57863145,63.74362323,5.043882313,65.92558387,5.605841536,23.94139139,7.535259851,12.49310793,7.156593654,132.151,13.69596202,180.17,55.62517025,5.368270615
1994,5.567553457,7.425703929,51.89798339,71.84146117,4.034180383,74.66971951,6.237739516,24.84848384,9.59912705,12.91885566,7.374450769,134.327,10.12202,130.69,59.30509398,4.167356037
1995,5.849467819,9.826778784,60.15924506,96.41922574,3.47671434,99.96878425,6.727446632,27.19168901,11.71879553,13.80260078,8.137911978,142.458,11.39670659,169.486,65.74366658,4.258788725
1996,6.101861436,9.899623588,67.62971698,120.404,6.09754695,109.774,6.928359238,31.49398764,13.69021733,15.27776333,9.059340385,157.743,13.78956088,181.476,73.571234,5.785685311
1997,6.349202394,9.594298746,78.43657817,113.919,6.665364786,114.544,7.244402962,30.35443455,15.75186749,15.83745124,11.29780212,164.994,14.50523397,189.835,78.83900845,6.83903903
1998,6.183776596,10.35350679,84.82880756,110.277,10.469,115.838,7.910621157,25.94192946,17.24717901,14.08537321,10.25549503,145.773,15.20084614,269.287,75.67433628,6.325219773
1999,6.621010372,10.61445523,90.71070481,113.848,18.449,117.212,8.147494358,30.12187944,17.39105637,15.71014824,12.39313187,160.957,15.87387597,249.751,84.44547311,7.641101221
2000,9.062906915,10.18331763,99.83854396,109.592,25.857,132.397,8.457923836,37.71186441,17.26036484,19.50741222,17.75989011,188.442,19.32589491,266.568,104.337,9.636342275
2001,8.976207713,10.56730419,97.63200871,126.879,18.936,130.752,8.973201975,34.89077274,17.64975124,19.45201561,17.53846154,183.012,21.09983378,196.005,103.312,9.854042165
2002,9.632155053,11.61826923,87.85068398,128.627,18.97,121.093,9.58041481,38.13754525,19.15223881,20.14278284,19.36373626,188.551,21.58224888,232.535,109.816,10.69327829
2003,11.07482207,14.57689694,82.92450394,153.545,15.8,126.75,10.19329281,47.87583893,20.08291874,21.63381014,23.53379121,214.573,21.82814469,303.005,124.346,11.77776809
2004,13.15016676,17.422375,78.84518529,183.697,36.62790176,135.419,11.40756657,59.44010859,20.95522388,24.76358908,31.73406593,258.742,25.08693069,392.166,147.824,13.87350089
2005,15.96872686,18.70314638,89.68572523,219.846,49.95489035,142.838,12.5886653,80.79794521,21.28756219,31.08192458,44.53049451,328.46,28.85896552,482.98,180.617,16.75376953
2006,18.50505319,20.40371346,107.484,258.646,65.14029369,154.511,15.05693695,101.551,21.79635158,37.21586476,60.88214286,376.9,33.33284458,530.9,222.106,19.08172288
2007,21.73,24.07747057,130.479,337.474,88.8400505,179.564,17.11060973,114.641,24.57711443,42.08530559,79.71208791,415.965,40.40500601,647.14,257.916,21.65651748
2008,25.71087766,27.83946096,162.818,397.19,131.614,216.76,21.97183528,147.396,28.82985075,60.9053316,115.27,519.797,52.631,730.325,315.475,26.91085136
2009,22.93821809,25.94262295,188.982,398.978,111.661,208.069,23.81832296,105.9,35.13963516,48.38829649,97.79835165,429.098,53.939,614.57,253.547,25.13027412
2010,25.71327128,25.56225166,218.888,467.79,138.517,233.755,26.42537944,115.419,38.00995025,58.64135241,125.122,526.811,60.043,731.145,286.049,30.90674953
2011,28.77659575,27.42716152,236.002,592.038,185.75,261.375,28.84026338,154.028,40.07893864,67.93758127,167.775,669.507,55.17302842,774.775,348.526,32.72641788
2012,30.74930851,25.01220609,276.353,587.209,218.001,257.642,30.93727761,174.07,43.20509585,76.68920676,186.834,733.956,40.05728445,788.863,373.432,35.40133987
2013,32.53944149,24.05496548,286.011,511.621,234.648,293.315,33.59384366,174.161,44.35241791,78.93888167,198.728,744.336,31.68500591,823.257,388.599,40.41523344
2014,33.38771277,23.30821282,301.499,425.326,228.731,308.769,35.82692578,162.632,45.73094527,81.03511053,206.225,753.832,34.09553904,798.782,401.958,43.22858394
2015,31.12585106,19.55994233,330.779,393.436,180.069,299.416,37.51741028,114.041,47.08470315,69.83094929,164.641,646.002,28.3927667,717.88,370.296,37.73391994
2016,31.85851064,19.80166417,336.297,376.755,171.489,318.744,38.65472775,109.859,47.53679865,66.29336801,152.469,646.438,20.73371355,857.749,348.743,27.31760535
